filename	barcode(s)
unc.edu.012cd145-9f6c-4b79-b929-3f42f61e3dce.2543747.junction_quantification.txt	TCGA-ZH-A8Y4-01A-11R-A41I-07
unc.edu.012cd145-9f6c-4b79-b929-3f42f61e3dce.2544343.rsem.genes.results	TCGA-ZH-A8Y4-01A-11R-A41I-07
unc.edu.012cd145-9f6c-4b79-b929-3f42f61e3dce.2544344.rsem.isoforms.results	TCGA-ZH-A8Y4-01A-11R-A41I-07
unc.edu.012cd145-9f6c-4b79-b929-3f42f61e3dce.2544383.rsem.isoforms.normalized_results	TCGA-ZH-A8Y4-01A-11R-A41I-07
unc.edu.012cd145-9f6c-4b79-b929-3f42f61e3dce.2544384.rsem.genes.normalized_results	TCGA-ZH-A8Y4-01A-11R-A41I-07
unc.edu.012cd145-9f6c-4b79-b929-3f42f61e3dce.2544632.bt.exon_quantification.txt	TCGA-ZH-A8Y4-01A-11R-A41I-07
unc.edu.015b2409-ca2e-4141-8266-fe619793761c.2537313.junction_quantification.txt	TCGA-WD-A7RX-01A-12R-A41I-07
unc.edu.015b2409-ca2e-4141-8266-fe619793761c.2537836.rsem.genes.results	TCGA-WD-A7RX-01A-12R-A41I-07
unc.edu.015b2409-ca2e-4141-8266-fe619793761c.2537837.rsem.isoforms.results	TCGA-WD-A7RX-01A-12R-A41I-07
unc.edu.015b2409-ca2e-4141-8266-fe619793761c.2537853.rsem.isoforms.normalized_results	TCGA-WD-A7RX-01A-12R-A41I-07
unc.edu.015b2409-ca2e-4141-8266-fe619793761c.2537856.rsem.genes.normalized_results	TCGA-WD-A7RX-01A-12R-A41I-07
unc.edu.015b2409-ca2e-4141-8266-fe619793761c.2537931.bt.exon_quantification.txt	TCGA-WD-A7RX-01A-12R-A41I-07
unc.edu.0431cd43-2dd6-4319-8017-6ed8b8e77dc0.2543909.junction_quantification.txt	TCGA-W5-AA2G-01A-11R-A41I-07
unc.edu.0431cd43-2dd6-4319-8017-6ed8b8e77dc0.2544552.rsem.genes.results	TCGA-W5-AA2G-01A-11R-A41I-07
unc.edu.0431cd43-2dd6-4319-8017-6ed8b8e77dc0.2544553.rsem.isoforms.results	TCGA-W5-AA2G-01A-11R-A41I-07
unc.edu.0431cd43-2dd6-4319-8017-6ed8b8e77dc0.2544575.rsem.isoforms.normalized_results	TCGA-W5-AA2G-01A-11R-A41I-07
unc.edu.0431cd43-2dd6-4319-8017-6ed8b8e77dc0.2544578.rsem.genes.normalized_results	TCGA-W5-AA2G-01A-11R-A41I-07
unc.edu.0431cd43-2dd6-4319-8017-6ed8b8e77dc0.2544741.bt.exon_quantification.txt	TCGA-W5-AA2G-01A-11R-A41I-07
unc.edu.0e8deabe-78a0-4960-8dc0-1afb483f409d.2538053.junction_quantification.txt	TCGA-W5-AA2O-01A-11R-A41I-07
unc.edu.0e8deabe-78a0-4960-8dc0-1afb483f409d.2538577.rsem.genes.results	TCGA-W5-AA2O-01A-11R-A41I-07
unc.edu.0e8deabe-78a0-4960-8dc0-1afb483f409d.2538578.rsem.isoforms.results	TCGA-W5-AA2O-01A-11R-A41I-07
unc.edu.0e8deabe-78a0-4960-8dc0-1afb483f409d.2538596.rsem.isoforms.normalized_results	TCGA-W5-AA2O-01A-11R-A41I-07
unc.edu.0e8deabe-78a0-4960-8dc0-1afb483f409d.2538605.rsem.genes.normalized_results	TCGA-W5-AA2O-01A-11R-A41I-07
unc.edu.0e8deabe-78a0-4960-8dc0-1afb483f409d.2538675.bt.exon_quantification.txt	TCGA-W5-AA2O-01A-11R-A41I-07
unc.edu.11aba6d6-271d-4d59-a2be-8cbd88a48d40.2528787.junction_quantification.txt	TCGA-ZH-A8Y1-01A-11R-A41I-07
unc.edu.11aba6d6-271d-4d59-a2be-8cbd88a48d40.2530947.rsem.genes.results	TCGA-ZH-A8Y1-01A-11R-A41I-07
unc.edu.11aba6d6-271d-4d59-a2be-8cbd88a48d40.2530948.rsem.isoforms.results	TCGA-ZH-A8Y1-01A-11R-A41I-07
unc.edu.11aba6d6-271d-4d59-a2be-8cbd88a48d40.2530988.rsem.isoforms.normalized_results	TCGA-ZH-A8Y1-01A-11R-A41I-07
unc.edu.11aba6d6-271d-4d59-a2be-8cbd88a48d40.2530989.rsem.genes.normalized_results	TCGA-ZH-A8Y1-01A-11R-A41I-07
unc.edu.11aba6d6-271d-4d59-a2be-8cbd88a48d40.2531321.bt.exon_quantification.txt	TCGA-ZH-A8Y1-01A-11R-A41I-07
unc.edu.1d507dd2-bb72-4305-a858-68fccae00d5e.2543821.junction_quantification.txt	TCGA-W5-AA2X-01A-11R-A41I-07
unc.edu.1d507dd2-bb72-4305-a858-68fccae00d5e.2544357.rsem.genes.results	TCGA-W5-AA2X-01A-11R-A41I-07
unc.edu.1d507dd2-bb72-4305-a858-68fccae00d5e.2544358.rsem.isoforms.results	TCGA-W5-AA2X-01A-11R-A41I-07
unc.edu.1d507dd2-bb72-4305-a858-68fccae00d5e.2544408.rsem.isoforms.normalized_results	TCGA-W5-AA2X-01A-11R-A41I-07
unc.edu.1d507dd2-bb72-4305-a858-68fccae00d5e.2544411.rsem.genes.normalized_results	TCGA-W5-AA2X-01A-11R-A41I-07
unc.edu.1d507dd2-bb72-4305-a858-68fccae00d5e.2544635.bt.exon_quantification.txt	TCGA-W5-AA2X-01A-11R-A41I-07
unc.edu.2649a2ec-8bb0-486e-9eec-ac9c76021b60.2529651.junction_quantification.txt	TCGA-W5-AA2R-11A-11R-A41I-07
unc.edu.2649a2ec-8bb0-486e-9eec-ac9c76021b60.2531556.rsem.genes.results	TCGA-W5-AA2R-11A-11R-A41I-07
unc.edu.2649a2ec-8bb0-486e-9eec-ac9c76021b60.2531557.rsem.isoforms.results	TCGA-W5-AA2R-11A-11R-A41I-07
unc.edu.2649a2ec-8bb0-486e-9eec-ac9c76021b60.2531632.rsem.genes.normalized_results	TCGA-W5-AA2R-11A-11R-A41I-07
unc.edu.2649a2ec-8bb0-486e-9eec-ac9c76021b60.2531645.rsem.isoforms.normalized_results	TCGA-W5-AA2R-11A-11R-A41I-07
unc.edu.2649a2ec-8bb0-486e-9eec-ac9c76021b60.2531940.bt.exon_quantification.txt	TCGA-W5-AA2R-11A-11R-A41I-07
unc.edu.342a4721-d5b0-487f-a2a7-a8ef6b7a924c.2548504.junction_quantification.txt	TCGA-W5-AA39-01A-11R-A41I-07
unc.edu.342a4721-d5b0-487f-a2a7-a8ef6b7a924c.2548707.rsem.genes.results	TCGA-W5-AA39-01A-11R-A41I-07
unc.edu.342a4721-d5b0-487f-a2a7-a8ef6b7a924c.2548708.rsem.isoforms.results	TCGA-W5-AA39-01A-11R-A41I-07
unc.edu.342a4721-d5b0-487f-a2a7-a8ef6b7a924c.2548720.rsem.genes.normalized_results	TCGA-W5-AA39-01A-11R-A41I-07
unc.edu.342a4721-d5b0-487f-a2a7-a8ef6b7a924c.2548721.rsem.isoforms.normalized_results	TCGA-W5-AA39-01A-11R-A41I-07
unc.edu.342a4721-d5b0-487f-a2a7-a8ef6b7a924c.2548860.bt.exon_quantification.txt	TCGA-W5-AA39-01A-11R-A41I-07
unc.edu.355d81ff-9689-4301-bd41-3df7403b533c.2532814.junction_quantification.txt	TCGA-4G-AAZT-01A-11R-A41I-07
unc.edu.355d81ff-9689-4301-bd41-3df7403b533c.2533607.rsem.genes.results	TCGA-4G-AAZT-01A-11R-A41I-07
unc.edu.355d81ff-9689-4301-bd41-3df7403b533c.2533608.rsem.isoforms.results	TCGA-4G-AAZT-01A-11R-A41I-07
unc.edu.355d81ff-9689-4301-bd41-3df7403b533c.2533626.rsem.genes.normalized_results	TCGA-4G-AAZT-01A-11R-A41I-07
unc.edu.355d81ff-9689-4301-bd41-3df7403b533c.2533627.rsem.isoforms.normalized_results	TCGA-4G-AAZT-01A-11R-A41I-07
unc.edu.355d81ff-9689-4301-bd41-3df7403b533c.2533802.bt.exon_quantification.txt	TCGA-4G-AAZT-01A-11R-A41I-07
unc.edu.41df36db-590f-4410-8d1d-b9afbbc9cecc.2544048.junction_quantification.txt	TCGA-W5-AA2U-01A-11R-A41I-07
unc.edu.41df36db-590f-4410-8d1d-b9afbbc9cecc.2544782.rsem.genes.results	TCGA-W5-AA2U-01A-11R-A41I-07
unc.edu.41df36db-590f-4410-8d1d-b9afbbc9cecc.2544783.rsem.isoforms.results	TCGA-W5-AA2U-01A-11R-A41I-07
unc.edu.41df36db-590f-4410-8d1d-b9afbbc9cecc.2544794.rsem.genes.normalized_results	TCGA-W5-AA2U-01A-11R-A41I-07
unc.edu.41df36db-590f-4410-8d1d-b9afbbc9cecc.2544797.rsem.isoforms.normalized_results	TCGA-W5-AA2U-01A-11R-A41I-07
unc.edu.41df36db-590f-4410-8d1d-b9afbbc9cecc.2544933.bt.exon_quantification.txt	TCGA-W5-AA2U-01A-11R-A41I-07
unc.edu.51dfbd25-fa30-4ac5-b375-fde6ddbaa151.2538184.junction_quantification.txt	TCGA-W5-AA2I-01A-32R-A41I-07
unc.edu.51dfbd25-fa30-4ac5-b375-fde6ddbaa151.2538734.rsem.genes.results	TCGA-W5-AA2I-01A-32R-A41I-07
unc.edu.51dfbd25-fa30-4ac5-b375-fde6ddbaa151.2538735.rsem.isoforms.results	TCGA-W5-AA2I-01A-32R-A41I-07
unc.edu.51dfbd25-fa30-4ac5-b375-fde6ddbaa151.2538754.rsem.genes.normalized_results	TCGA-W5-AA2I-01A-32R-A41I-07
unc.edu.51dfbd25-fa30-4ac5-b375-fde6ddbaa151.2538757.rsem.isoforms.normalized_results	TCGA-W5-AA2I-01A-32R-A41I-07
unc.edu.51dfbd25-fa30-4ac5-b375-fde6ddbaa151.2538830.bt.exon_quantification.txt	TCGA-W5-AA2I-01A-32R-A41I-07
unc.edu.59012a78-0e8f-4b99-af97-0dbb1d3d0513.2538251.junction_quantification.txt	TCGA-3X-AAV9-01A-72R-A41I-07
unc.edu.59012a78-0e8f-4b99-af97-0dbb1d3d0513.2538841.rsem.genes.results	TCGA-3X-AAV9-01A-72R-A41I-07
unc.edu.59012a78-0e8f-4b99-af97-0dbb1d3d0513.2538842.rsem.isoforms.results	TCGA-3X-AAV9-01A-72R-A41I-07
unc.edu.59012a78-0e8f-4b99-af97-0dbb1d3d0513.2538861.rsem.isoforms.normalized_results	TCGA-3X-AAV9-01A-72R-A41I-07
unc.edu.59012a78-0e8f-4b99-af97-0dbb1d3d0513.2538862.rsem.genes.normalized_results	TCGA-3X-AAV9-01A-72R-A41I-07
unc.edu.59012a78-0e8f-4b99-af97-0dbb1d3d0513.2538966.bt.exon_quantification.txt	TCGA-3X-AAV9-01A-72R-A41I-07
unc.edu.5cd9444b-4c4c-489a-b491-583da5510c80.2529276.junction_quantification.txt	TCGA-ZU-A8S4-01A-11R-A41I-07
unc.edu.5cd9444b-4c4c-489a-b491-583da5510c80.2531448.rsem.genes.results	TCGA-ZU-A8S4-01A-11R-A41I-07
